Hectares ,Agriblock,Variety,Soil Types,Seedrate(in Kg),LP_Mainfield(in Tonnes),Nursery,Nursery area (Cents),LP_nurseryarea(in Tonnes),DAP_20days,Weed28D_thiobencarb,Urea_40Days,Potassh_50Days,Micronutrients_70Days,Pest_60Day(in ml),30DRain( in mm),30DAI(in mm),30_50DRain( in mm),30_50DAI(in mm),51_70DRain(in mm),51_70AI(in mm),71_105DRain(in mm),71_105DAI(in mm),Min temp_D1_D30,Max temp_D1_D30,Min temp_D31_D60,Max temp_D31_D60,Min temp_D61_D90,Max temp_D61_D90,Min temp_D91_D120,Max temp_D91_D120,Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D61_D90(in Knots),Inst Wind Speed_D91_D120(in Knots),Wind Direction_D1_D30,Wind Direction_D31_D60,Wind Direction_D61_D90,Wind Direction_D91_D120,Relative Humidity_D1_D30,Relative Humidity_D31_D60,Relative Humidity_D61_D90,Relative Humidity_D91_D120,Trash(in bundles),Paddy yield(in Kg),Inst Wind Speed_D61_D90(in Knots)_log
6.0,cuddalore,co_43,alluvial,150.0,75.0,dry,80.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,17.0,31.0,16.0,33.0,4.0,10.0,8.0,10.0,sw,w,nnw,wsw,72.0,78.0,88.0,85.0,540.0,35028.0,2.1972245773362196
6.0,kurinjipadi,ponmani,clay,150.0,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,21.5,187.2,270.8,167.0,250.0,60.2,64.0,19.5,34.0,18.5,35.0,17.0,33.0,16.0,30.5,10.0,4.0,10.0,10.0,nw,s,se,nw,64.6,85.0,84.0,87.0,600.0,35412.0,2.3978952727983707
6.0,panruti,delux ponni,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,108.52,62.28,90.0,3600.0,18.5,21.5,185.2,272.4,165.3,251.7,60.0,65.0,20.0,35.0,18.0,30.0,17.5,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ene,ne,nne,w,85.0,96.0,84.0,79.0,600.0,36300.0,1.6094379124341003
6.0,kallakurichi,co_43,clay,150.0,75.0,wet,120.0,6.0,160.0,8.0,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,15.5,32.5,8.0,6.0,8.0,6.0,w,wnw,se,s,88.5,95.0,81.0,84.0,540.0,35016.0,2.1972245773362196
6.0,sankarapuram,ponmani,alluvial,100.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,2400.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,17.0,34.0,16.0,35.0,10.0,12.0,10.0,10.0,sse,w,sw,nw,72.7,91.0,83.0,81.0,600.0,34044.0,2.3978952727983707
6.0,chinnasalem,ponmani,alluvial,150.0,75.0,wet,120.0,6.0,160.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,e,ene,ne,nw,78.6,80.0,92.0,84.0,480.0,36732.0,2.1972245773362196
6.0,cuddalore,co_43,clay,150.0,50.0,wet,120.0,6.0,160.0,12.0,162.78,62.28,90.0,3600.0,18.5,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,33.0,16.0,33.0,8.0,10.0,8.0,10.0,sw,w,nnw,wsw,72.0,91.0,88.0,85.0,540.0,33162.0,2.1972245773362196
6.0,kurinjipadi,delux ponni,alluvial,100.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,272.4,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,10.0,nw,s,se,sse,64.6,85.0,84.0,87.0,480.0,36690.0,2.3978952727983707
6.0,panruti,ponmani,clay,150.0,50.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,64.8,20.0,35.0,18.0,30.0,17.5,33.5,18.0,33.0,4.0,12.0,4.0,10.0,ene,ne,nne,nw,85.0,96.0,84.0,79.0,600.0,35310.0,1.6094379124341003
6.0,kallakurichi,ponmani,alluvial,150.0,75.0,dry,120.0,6.0,160.0,12.0,108.52,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,16.0,32.5,8.0,6.0,8.0,10.0,w,w,se,s,88.5,95.0,81.0,84.0,540.0,32460.0,2.1972245773362196
